kp,kd,ki,tracking_rms_cm,overshoot_cm,tail_rms_deg,hover_cm,peak_pitch_deg
22,7.7,0.04,1.61603960379756,2.90362855665509,6.37040131918328,0.0110726874230686,14.1312936909363
22,8.8,0.04,1.47926919317465,2.52968217209109,6.3733759491693,0.0308764630586046,15.4237167823106
22,9.9,0.04,1.43853189679853,2.58100110025414,6.47733826809421,0.0533962266939949,15.3648383655072
24,8.4,0.04,1.49981420436025,2.68528023363446,6.51627930769269,0.0198899591651281,14.2695556947319
24,9.6,0.04,1.36895836677223,2.39187756715629,6.53459669649242,0.0461891106473107,15.7198737871717
24,10.8,0.04,1.31834146803349,2.2801080609298,6.42246540119482,0.0505693793736239,15.5256730708254
26,9.1,0.04,1.40604776439251,2.49783189477086,6.62243928915459,0.0327113036115144,15.1375166052031
26,10.4,0.04,1.30446792880012,2.29309417305963,6.62118914986832,0.0467810458973061,15.9409060983504
26,11.7,0.04,1.26037462665526,2.23898323199774,5.70662309218177,0.0417676258534136,16.5220177535328
